"full_name","country_code","role","season","team","mins_played","xG","goals","xA","assists","xT","xT_from_passes","xT_from_carries","won_dribblings","attempted_dribblings","won_dribblings_ratio","offensive_aero"
Adolfo Gaich,ARG,FW,2022,Verona,723,2.7428687,2,0.1879192,,-0.0596723,-0.0459019,-0.0137704,11,16,0.6875,57.2668
Zlatan Ibrahimovic,SWE,FW,2022,Milan,144,1.0219054,1,0.1553524,,0.2192865,0.1410041,0.0782824,,2,,72.8874
Mihailo Ivanovic,SRB,FW,2022,Sampdoria,2,0.0,,0.0,,0.0,0.0,0.0,,,,
Jesé,ESP,FW,2022,Sampdoria,202,0.3273612,1,0.4124987,1,-0.001255,0.0012151,-0.0024701,3,4,0.7500,25.3961
Samuel Ntanda,BEL,WAM,2022,Sampdoria,1,0.0342827,,0.0000654,,-0.0013009,-0.0013009,0.0,1,1,1.0000,
Matteo Cancellieri,ITA,WAM,2023,Empoli,1380,3.4415657,2,1.4096418,1,1.1180124,0.4361909,0.6818215,32,67,0.4776,33.6085
Emmanuel Gyasi,GHA,WAM,2023,Empoli,1116,3.4776807,1,0.5921758,,0.4136479,0.2562376,0.1574103,2,10,0.2000,40.0865
Francesco Caputo,ITA,FW,2023,Empoli,1120,3.2032422,3,0.753849,,-0.2598388,-0.1512067,-0.1086321,4,8,0.5000,50.5342
Emmanuel Ekong,SWE,FW,2023,Empoli,4,0.0,,0.0064805,,0.0019377,-0.001464,0.0034017,,2,,
Stiven Shpendi,ALB,FW,2023,Empoli,394,0.6754196,,0.2659491,1,0.0240153,0.0404074,-0.0163921,2,7,0.2857,38.4601
Cyril Ngonge,BEL,WAM,2023,Verona,1436,4.5275958,6,1.7946292,2,0.914871,0.2239184,0.6909526,29,62,0.4677,48.944
Jordi Mboula,ESP,WAM,2023,Verona,304,0.421013,,0.3010777,1,0.230733,0.0395607,0.1911723,2,4,0.5000,49.0933
Riccardo Saponara,ITA,WAM,2023,Verona,336,0.1438613,,0.1450546,,0.08668,-0.0096429,0.0963229,4,8,0.5000,49.0797
Milan Djuric,BIH,FW,2023,Verona,1207,4.9393506,5,0.5449127,1,0.3759477,-0.0681157,0.4440634,2,3,0.6667,89.5288
Federico Bonazzoli,ITA,FW,2023,Verona,667,1.2568248,1,0.4080063,1,-0.1242915,0.0037303,-0.1280218,6,9,0.6667,49.7098
Giuseppe Caso,ITA,WAM,2023,Frosinone,409,0.308597,,0.2177484,,0.4372491,0.2157282,0.2215209,15,33,0.4545,24.8346
Marvin Çuni,ALB,FW,2023,Frosinone,470,1.0647988,1,0.1277023,,0.0138379,-0.007457,0.0212949,3,10,0.3000,52.0782
Jaime Báez,URY,WAM,2023,Frosinone,501,0.4613982,1,0.8765672,,0.4101781,0.2636231,0.146555,5,8,0.6250,48.4459
Luca Garritano,ITA,WAM,2023,Frosinone,480,1.1729855,,0.4295335,,0.306395,0.2027768,0.1036182,,5,,29.9634
Luigi Canotto,ITA,WAM,2023,Frosinone,15,0.0,,0.000221,,0.0031132,0.0031132,0.0,1,1,1.0000,
Gennaro Borrelli,ITA,FW,2023,Frosinone,23,0.0,,0.0,,-0.0045547,0.0,-0.0045547,,,,57.8915
Giorgi Kvernadze,GEO,WAM,2023,Frosinone,59,0.0,,0.0095491,,0.0020306,-0.0161817,0.0182123,3,5,0.6000,
Victor Osimhen,NGA,FW,2023,Napoli,1338,10.0714155,11,0.8011913,3,0.3318107,0.0840073,0.2478034,8,25,0.3200,74.373
Matteo Politano,ITA,WAM,2023,Napoli,1791,5.335485,6,4.4167462,5,3.0326932,1.8932372,1.139456,27,57,0.4737,33.698
Giacomo Raspadori,ITA,FW,2023,Napoli,1393,5.3617493,4,2.8353158,3,-0.0316134,-0.1719123,0.1402989,13,27,0.4815,37.8828
Giovanni Simeone,ARG,FW,2023,Napoli,633,3.4213342,1,0.5613674,,-0.2033463,-0.1240856,-0.0792607,5,10,0.5000,50.9271
Eljif Elmas,MKD,WAM,2023,Napoli,331,0.4539138,2,0.3229867,,0.3112208,0.1084461,0.2027747,6,14,0.4286,29.2596
Alessio Zerbin,ITA,WAM,2023,Napoli,145,0.2340497,,0.4386484,,0.06324,-0.001807,0.065047,2,3,0.6667,37.3881
Marcus Thuram,FRA,FW,2023,Internazionale,2023,12.5012954,10,3.0701388,7,0.9787029,0.2380808,0.7406221,27,37,0.7297,72.1196
Lautaro Martínez,ARG,FW,2023,Internazionale,2115,15.5852733,23,2.0373106,2,1.1562185,0.1007378,1.0554807,14,46,0.3043,61.6372
Marko Arnautovic,AUT,FW,2023,Internazionale,588,3.8185909,2,1.9541754,3,0.9727137,0.5527781,0.4199356,1,6,0.1667,52.7625
Mirko Maric,HRV,FW,2023,Monza,279,0.9603665,1,0.1693839,,-0.2504952,-0.3370101,0.0865149,1,4,0.2500,47.1997
Samuele Vignato,ITA,FW,2023,Monza,339,1.2775285,1,0.2137855,,0.354275,0.0401349,0.3141401,5,9,0.5556,40.7637
Dany Mota,PRT,FW,2023,Monza,1759,5.1143182,4,2.3404518,2,1.2171242,0.2421009,0.9750233,11,31,0.3548,50.367
Albert Gudmundsson,ISL,WAM,2023,Genoa,2398,7.1797189,10,5.561243,3,2.8017476,1.7046824,1.0970652,38,73,0.5205,39.744
Mateo Retegui,ITA,FW,2023,Genoa,1694,5.3114077,6,0.5523422,2,-0.4418831,-0.3127439,-0.1291392,9,24,0.3750,66.9146
George Puscas,ROU,FW,2023,Genoa,185,2.5813492,,0.0792038,,0.0484253,-0.3607139,0.4091392,1,3,0.3333,78.1009
Caleb Ekuban,GHA,FW,2023,Genoa,716,1.4847304,2,0.6918184,1,0.3567248,0.0950245,0.2617003,8,17,0.4706,56.0637
